ID,magnet,network,connection,value
PB016,3T,effector,foot-hand,0.523877
PB016,3T,effector,foot-mouth,0.2967408
PB016,3T,effector,hand-mouth,0.3517503
PB016,7T,effector,foot-hand,0.4339961
PB016,7T,effector,foot-mouth,0.3116603
PB016,7T,effector,hand-mouth,0.4012653
PB016,3T,SCAN,top-middle,0.4885077
PB016,3T,SCAN,top-low,0.2806
PB016,3T,SCAN,middle-low,0.5846204
PB016,7T,SCAN,top-middle,0.5688607
PB016,7T,SCAN,top-low,0.3703593
PB016,7T,SCAN,middle-low,0.8097382
PB020,3T,effector,foot-hand,0.5833734
PB020,3T,effector,foot-mouth,0.19637
PB020,3T,effector,hand-mouth,0.3279821
PB020,7T,effector,foot-hand,0.3868963
PB020,7T,effector,foot-mouth,0.217952
PB020,7T,effector,hand-mouth,0.331698
PB020,3T,SCAN,top-middle,0.5753052
PB020,3T,SCAN,top-low,0.2213275
PB020,3T,SCAN,middle-low,0.6476762
PB020,7T,SCAN,top-middle,0.9077846
PB020,7T,SCAN,top-low,0.5582699
PB020,7T,SCAN,middle-low,0.8513024
PB021,3T,effector,foot-hand,0.7011139
PB021,3T,effector,foot-mouth,0.2574577
PB021,3T,effector,hand-mouth,0.5295608
PB021,7T,effector,foot-hand,0.8331956
PB021,7T,effector,foot-mouth,0.4497539
PB021,7T,effector,hand-mouth,0.9389393
PB021,3T,SCAN,top-middle,1.043288
PB021,3T,SCAN,top-low,0.3175378
PB021,3T,SCAN,middle-low,0.3747967
PB021,7T,SCAN,top-middle,1.313543
PB021,7T,SCAN,top-low,0.6009279
PB021,7T,SCAN,middle-low,0.7537883
PB022,3T,effector,foot-hand,0.4390003
PB022,3T,effector,foot-mouth,0.2839039
PB022,3T,effector,hand-mouth,0.7372853
PB022,7T,effector,foot-hand,0.6477119
PB022,7T,effector,foot-mouth,0.3765166
PB022,7T,effector,hand-mouth,0.7060001
PB022,3T,SCAN,top-middle,1.181765
PB022,3T,SCAN,top-low,0.6143507
PB022,3T,SCAN,middle-low,0.8309852
PB022,7T,SCAN,top-middle,1.106551
PB022,7T,SCAN,top-low,0.5130893
PB022,7T,SCAN,middle-low,0.8159509
